3,7,19,0,3,1,1,0.82,0.8485,0.67,0.1642,382
4,9,19,0,6,0,1,0.62,0.5606,0.88,0,308
2,5,9,0,2,1,2,0.54,0.5152,0.88,0.2537,207
2,6,9,0,5,1,1,0.58,0.5455,0.4,0.1642,230
2,5,18,0,3,1,1,0.6,0.5909,0.73,0.2239,489
2,6,19,0,4,1,1,0.72,0.6364,0.23,0.2985,379
4,10,7,0,5,1,1,0.28,0.2727,0.65,0.2537,205
2,4,23,0,2,1,2,0.4,0.4091,0.94,0.2537,39
4,9,22,0,5,1,1,0.6,0.5152,0.94,0.1642,157
1,2,23,0,6,0,1,0.28,0.2424,0.33,0.4478,29
3,7,19,0,6,0,2,0.82,0.803,0.59,0.1343,217
2,4,18,0,2,1,1,0.38,0.3939,0.4,0.4925,267
3,8,5,0,6,0,1,0.64,0.5758,0.89,0.0896,6
4,12,22,0,6,0,2,0.32,0.3333,0.61,0.0896,114
3,7,2,0,2,1,1,0.66,0.6212,0.74,0.0896,13
1,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,70
4,12,19,0,5,1,1,0.34,0.3636,0.61,0,199
4,12,7,0,2,1,2,0.46,0.4545,0.94,0.194,234
2,4,17,0,5,1,3,0.32,0.303,0.93,0.2537,148
1,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,59
2,6,1,0,4,1,1,0.58,0.5455,0.6,0,17
1,12,6,0,6,0,2,0.3,0.303,0.75,0.1642,10
4,11,21,0,4,1,1,0.36,0.3333,0.57,0.2537,136
3,7,4,0,0,0,1,0.62,0.5909,0.73,0.1642,10
2,6,17,0,0,0,1,0.74,0.6667,0.51,0,397
2,5,1,0,2,1,2,0.56,0.5303,0.78,0.2537,14
2,4,19,0,1,1,1,0.56,0.5303,0.46,0.2537,286
4,10,7,0,5,1,1,0.42,0.4242,0.94,0,242
1,3,1,0,2,1,1,0.24,0.2424,0.52,0.1343,4
1,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,95
3,9,2,0,0,0,2,0.62,0.5909,0.78,0.194,76
2,4,20,0,6,0,1,0.34,0.3182,0.53,0.2836,85
1,3,22,0,1,1,1,0.32,0.3333,0.49,0.1045,47
4,10,22,0,4,1,1,0.36,0.3182,0.66,0.4925,111
1,3,21,0,4,1,1,0.42,0.4242,0.62,0.2239,138
3,8,20,0,2,1,2,0.82,0.7576,0.46,0.2537,288
4,10,8,0,4,1,1,0.44,0.4394,0.67,0.5224,426
